Date,MMWR_week,Location,Distributed,Administered,Admin_Per_100K,Recip_Administered,Administered_Dose1_Recip,Series_Complete_Yes,Additional_Doses,Second_Booster,Administered_Bivalent
01/04/2022,1,OR,8466825,6857676,162591,6854672,3127617,2806314,1110245,,
01/04/2022,1,WA,15157395,12684476,166575,12733102,5782037,5185346,2027734,,
01/04/2022,1,FL,40557635,33945694,158051,33539106,16077670,13648680,4436417,,
01/04/2022,1,CO,10837215,9592439,166572,9563766,4311864,3826748,1597152,,
01/04/2022,1,RP,36490,36970,171698,37282,18765,16532,4314,,
01/04/2022,1,RI,2281885,1971593,186112,2068737,949464,813158,353512,,
01/04/2022,1,NJ,18663305,15086426,169850,15514278,7477980,6281498,2196050,,
01/04/2022,1,AZ,12582250,10587892,145464,10373184,4924223,4166767,1296141,,
01/04/2022,1,MS,4559575,3508260,117879,3527405,1671819,1448979,426774,,
01/04/2022,1,DC,1602445,1303196,184654,1219662,629333,478809,135245,,
01/04/2022,1,FM,108760,84269,82358,85013,48868,43159,3743,,
01/04/2022,1,IA,5658495,4662216,147769,4654404,2055676,1866268,848304,,
01/04/2022,1,KS,5188055,4110740,141102,4208226,2029550,1666787,574939,,
01/04/2022,1,NV,5089750,4356592,141441,4313337,2154089,1745262,525948,,
01/04/2022,1,KY,7433545,5937661,132903,5967907,2802614,2430033,883365,,
01/04/2022,1,NC,18826800,15053613,143531,14903918,8085693,5972395,1239405,,
01/04/2022,1,CA,76094855,66483057,168259,66573619,32905240,26246056,9025459,,
01/04/2022,1,TX,51841585,40980790,141333,39801511,19475019,16576843,4831425,,
01/04/2022,1,AL,8027420,5678299,115808,5765743,2884819,2345599,659747,,
01/04/2022,1,ID,2857660,2034077,113822,2046200,934248,827774,322214,,
01/03/2022,1,AR,4981960,3800426,125933,3829291,1893250,1545652,467569,,
01/03/2022,1,NJ,18663165,14997145,168845,15424207,7451077,6268285,2145724,,
01/03/2022,1,SC,8807355,6774387,131574,6746296,3248212,2744562,883013,,
01/03/2022,1,ID,2857660,2026517,113399,2038845,932713,826758,317335,,
01/03/2022,1,ND,1179940,1016147,133342,992054,474981,401102,146635,,
01/03/2022,1,DC,1602445,1302549,184563,1218805,628896,478731,134912,,
01/03/2022,1,WV,3342455,2496503,139302,2488468,1111360,987762,373178,,
01/03/2022,1,CO,10837215,9576521,166296,9547514,4307630,3823677,1588300,,
12/17/2020,51,WA,62400,10,0,0,0,0,,,
01/03/2022,1,TN,10859550,8945539,130990,8762057,4015804,3510927,1244153,,
01/03/2022,1,PR,6434610,5935185,185841,5934028,2844827,2461510,710730,,
01/03/2022,1,FM,108760,84093,82186,84836,48766,43132,3696,,
01/03/2022,1,MP,113330,95793,184747,95896,43361,39878,13714,,
01/03/2022,1,HI,2971770,2262935,159826,2291872,1262501,903687,165349,,
01/03/2022,1,MS,4559575,3388444,113853,3411996,1646216,1430730,355146,,
01/03/2022,1,KS,5188055,4086458,140268,4184842,2022794,1663120,561952,,
01/03/2022,1,MI,17993970,14017955,140364,14257775,6346379,5679507,2378951,,
01/03/2022,1,DE,1974935,1597853,164090,1563692,750491,627168,222328,,
01/03/2022,1,NV,5089750,4354258,141365,4310632,2152994,1744833,524722,,
01/03/2022,1,CT,7417465,6723814,188591,6734815,3183010,2669726,1059785,,
01/03/2022,1,MO,9882895,8110832,132154,8034310,3833078,3258212,1100912,,
01/03/2022,1,US,614409465,511021395,153918,511021395,244504202,206320507,70696121,,
01/03/2022,1,AZ,12582250,10526735,144623,10314634,4909019,4155840,1263781,,
01/03/2022,1,IN,11039970,8541830,126880,8533485,3905589,3504647,1247296,,
01/03/2022,1,AL,8027420,5669320,115625,5756059,2881666,2343601,655288,,
01/03/2022,1,OK,6255070,5327053,134625,5276042,2619421,2119551,638250,,
01/03/2022,1,FL,40557435,33738139,157084,33340835,16026807,13620652,4317155,,
01/03/2022,1,AK,1314315,1029914,140786,1028727,476931,413002,145660,,
01/03/2022,1,VA2,7525480,6972085,0,6972085,3339402,2911828,940003,,
01/03/2022,1,NM,3783885,3454603,164754,3572113,1696633,1391497,547338,,
01/03/2022,1,UT,5393420,4522375,141062,4479591,2160770,1885176,567484,,
01/03/2022,1,KY,7433545,5935516,132855,5965092,2801612,2429485,882086,,
01/03/2022,1,IH2,2541295,2030053,97467,2030053,1029704,820651,194525,,
01/03/2022,1,IA,5658495,4661269,147739,4652664,2055015,1865936,847515,,
01/03/2022,1,NY,38995375,34559526,177651,34561297,16435033,14002022,4716177,,
01/03/2022,1,DD2,6254550,6908207,0,6908207,3856483,2877577,1175,,
01/03/2022,1,VA,16878615,14620329,171288,14575994,6781070,5822397,2200426,,
01/03/2022,1,OH,19786195,15987032,136769,15866958,7078401,6467195,2686910,,
01/03/2022,1,TX,51841445,40905991,141075,39728530,19452475,16562865,4794642,,
01/03/2022,1,ME,2908270,2518375,187350,2530475,1157393,1020441,454272,,
01/03/2022,1,RI,2281885,1969901,185952,2066923,948900,812754,352649,,
01/03/2022,1,LA,6871910,5685622,122303,5626196,2680764,2344124,743251,,
01/03/2022,1,NH,2932510,2412067,177396,2401025,1348617,915876,133485,,
01/03/2022,1,AS,83310,75819,159983,76133,40256,32705,3409,,
01/03/2022,1,OR,8466825,6852609,162471,6848920,3126207,2805601,1106591,,
01/03/2022,1,IL,23217835,19994441,157787,20194671,9196287,8159108,3237289,,
01/03/2022,1,SD,1581285,1265667,143068,1275600,629011,506140,174148,,
01/03/2022,1,BP2,299110,278584,0,278584,135505,128200,27641,,
12/28/2020,53,GA,312825,24173,228,0,0,0,,,
01/03/2022,1,CA,76094855,66388118,168019,66475935,32879637,26229407,8969666,,
01/03/2022,1,MT,1726035,1444505,135155,1443245,663503,577436,229966,,
01/03/2022,1,MD,13280810,10502725,173723,10586056,4882363,4264972,1641551,,
01/03/2022,1,NC,18826300,15037752,143379,14888101,8075639,5970213,1235772,,
01/03/2022,1,MH,68980,48620,62541,48684,26227,23047,1575,,
01/03/2022,1,WI,10094315,9145212,157069,9120668,3979535,3612048,1619771,,
01/03/2022,1,WY,844805,686420,118602,683934,323860,275433,99291,,
